0,5,0.5,0
0,5,2,2
0,5,5,3
0,5,10,5
0,5,20,10
0,5,40,50
0,11,0.5,1
0,11,2,5
0,11,5,10
0,11,10,30
0,11,20,50
0,11,40,60
0,17,0.5,3
0,17,2,20
0,17,5,30
0,17,10,40
0,17,20,50
0,17,40,60
0,23,0.5,4
0,23,2,22
0,23,5,30
0,23,10,40
0,23,20,50
0,23,40,60
0,30,0.5,5
0,30,2,20
0,30,5,30
0,30,10,50
0,30,20,60
0,30,40,80
2,5,0.5,5
2,5,2,20
2,5,5,30
2,5,10,49
2,5,20,50
2,5,40,80
2,11,0.5,5
2,11,2,20
2,11,5,30
2,11,10,40
2,11,20,50
2,11,40,80
2,17,0.5,6
2,17,2,15
2,17,5,30
2,17,10,40
2,17,20,50
2,17,40,80
2,23,0.5,6
2,23,2,35
2,23,5,45
2,23,10,50
2,23,20,60
2,23,40,85
2,30,0.5,6
2,30,2,35
2,30,5,45
2,30,10,55
2,30,20,65
2,30,40,85
5,5,0.5,7
5,5,2,22
5,5,5,30
5,5,10,38
5,5,20,46
5,5,40,55
5,11,0.5,7
5,11,2,25
5,11,5,35
5,11,10,40
5,11,20,50
5,11,40,60
5,17,0.5,7
5,17,2,17
5,17,5,27
5,17,10,37
5,17,20,47
5,17,40,57
5,23,0.5,7
5,23,2,25
5,23,5,40
5,23,10,50
5,23,20,50
5,23,40,80
5,30,0.5,7
5,30,2,20
5,30,5,30
5,30,10,40
5,30,20,50
5,30,40,50
10,5,0.5,8
10,5,2,20
10,5,5,30
10,5,10,50
10,5,20,70
10,5,40,80
10,11,0.5,8
10,11,2,20
10,11,5,40
10,11,10,50
10,11,20,60
10,11,40,80
10,17,0.5,8
10,17,2,20
10,17,5,35
10,17,10,40
10,17,20,50
10,17,40,70
10,23,0.5,8
10,23,2,20
10,23,5,30
10,23,10,50
10,23,20,80
10,23,40,45
10,30,0.5,8
10,30,2,30
10,30,5,40
10,30,10,50
10,30,20,60
10,30,40,70
20,5,0.5,10
20,5,2,25
20,5,5,45
20,5,10,55
20,5,20,65
20,5,40,90
20,11,0.5,10
20,11,2,27
20,11,5,37
20,11,10,45
20,11,20,68
20,11,40,95
20,17,0.5,10
20,17,2,26
20,17,5,47
20,17,10,57
20,17,20,68
20,17,40,95
20,23,0.5,10
20,23,2,10
20,23,5,27
20,23,10,38
20,23,20,68
20,23,40,90
20,30,0.5,10
20,30,2,27
20,30,5,46
20,30,10,56
